2024-03-19T22:45:47.176+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapInuse/983040.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.177+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NextGC/4194304.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.179+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/GCSys/1662904.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:47.181+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/counter/PollCount/4.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:53.959+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:55.251+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:55.451+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "0s"}
2024-03-19T22:45:55.632+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "939.7µs"}
2024-03-19T22:45:55.789+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/", "method": "GET", "time": "956.5µs"}
2024-03-19T22:45:57.208+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapObjects/6554.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.210+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Sys/6836224.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.211+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/StackInuse/655360.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.212+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapInuse/1802240.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.214+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NextGC/4194304.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.215+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MSpanInuse/55040.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.217+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/RandomValue/6824.367", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.218+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/GCSys/1749256.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.220+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapSys/3538944.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.222+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapIdle/1736704.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.223+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/BuckHashSys/9505.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.225+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Lookups/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.227+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/OtherSys/801527.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.229+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Alloc/1031296.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.230+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MCacheInuse/14016.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.231+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MCacheSys/16352.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.233+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/TotalAlloc/1031296.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.235+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/StackSys/655360.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.237+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/GCCPUFraction/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.238+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NumForcedGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.240+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapAlloc/1031296.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.241+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/MSpanSys/65280.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.243+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/LastGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.245+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Frees/128.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.247+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/HeapReleased/1671168.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.248+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/NumGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.250+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/Mallocs/6682.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.252+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/gauge/PauseTotalNs/0.000", "method": "POST", "time": "0s"}
2024-03-19T22:45:57.253+0300	INFO	server/server.go:195	TEST LOG MIDDLEWARE	{"uri": "/update/counter/PollCount/10.000", "method": "POST", "time": "0s"}
2024-03-19T23:33:08.266+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T23:38:41.461+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T23:38:41.496+0300	INFO	server/server.go:32	Server successfully initialized!
2024-03-19T23:39:04.811+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T23:39:04.845+0300	INFO	server/server.go:32	Server was successfully initialized!
2024-03-19T23:39:09.789+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T23:39:09.825+0300	INFO	agent/agent.go:21	Server successfully started!
2024-03-19T23:39:25.894+0300	INFO	logger/logger.go:29	The Logger was successfully initialized
2024-03-19T23:39:25.926+0300	INFO	agent/agent.go:21	Agent successfully started!
2024-03-19T23:39:35.949+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.949+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/GCSys/1662904.000", "method": "POST", "time": "537.6µs"}
2024-03-19T23:39:35.951+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.951+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/StackInuse/131072.000", "method": "POST", "time": "533.8µs"}
2024-03-19T23:39:35.952+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.952+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Sys/6836224.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.954+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.954+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapObjects/2031.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.956+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.956+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapInuse/1064960.000", "method": "POST", "time": "530.1µs"}
2024-03-19T23:39:35.957+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.958+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/GCCPUFraction/0.000", "method": "POST", "time": "539.7µs"}
2024-03-19T23:39:35.959+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.959+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/MCacheSys/16352.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.960+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.960+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/LastGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.962+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.962+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/BuckHashSys/9505.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.964+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.964+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/MCacheInuse/14016.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.965+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
